"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "JavaScript JSX", "Database", "XML", "SQLite", "comment", "blank", "total"
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/RootLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 1, 12, 133
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/DeleteTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 15, 10, 90
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignOut.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 1, 4, 17
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/QuestionBankStaff/QuestionBankStaff.jsx", "JavaScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 3, 11, 116
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/AddTeacher/AddTeacher.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 2, 10, 153
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Analytics/Analytics.jsx", "JavaScript JSX", 0, 0, 0, 0, 155, 0, 0, 0, 2, 18, 175
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/OpenClosingTimes/OpenClosingTimes.jsx", "JavaScript JSX", 0, 0, 0, 0, 512, 0, 0, 0, 0, 15, 527
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/StaffSchedule/StaffSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 190, 0, 0, 0, 0, 11, 201
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/StudentQuestions/StudentQuestions.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 11, 79
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/authConfig.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 2, 25
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/graph.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 5, 5, 23
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 4, 5, 25
"/home/wemb1/Documents/Dissertation/Dissertation/labq/tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/home/wemb1/Documents/Dissertation/Dissertation/labq/vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 11181, 1403, 20, 3, 3074, 97, 2, 88, 111, 524, 16503
