"filename", "language", "JavaScript", "JSON", "XML", "HTML", "CSS", "JavaScript JSX", "Database", "SQLite", "comment", "blank", "total"
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 15, 10, 90
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignOut.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 1, 4, 17
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/QuestionBankStaff/QuestionBankStaff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 77, 0, 0, 1, 12, 90
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Analytics/Analytics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 2, 7, 16
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/OpenClosingTimes/OpenClosingTimes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 441, 0, 0, 0, 15, 456
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/StaffSchedule/StaffSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 0, 11, 193
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/assets/react.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/authConfig.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 2, 25
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/graph.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/wemb1/Documents/Dissertation/Dissertation/labq/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 4, 5, 25
"/home/wemb1/Documents/Dissertation/Dissertation/labq/tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/home/wemb1/Documents/Dissertation/Dissertation/labq/vite.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"Total", "-", 814, 6979, 2, 20, 3, 1960, 88, 81, 110, 382, 10439
