Date : 2023-07-18 10:39:53
Directory : /home/wemb1/Documents/Dissertation/Dissertation/labq
Total : 50 files,  9947 codes, 110 comments, 382 blanks, all 10439 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/server/assets-router.mjs                                           | JavaScript     |         14 |          0 |          5 |         19 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/App.css                                                        | CSS            |          0 |          0 |          1 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/App.jsx                                                        | JavaScript JSX |         79 |          1 |          8 |         88 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/ModalOpenOrClosed.jsx                                  | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/Solutions.jsx                                          | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/StaffProfile.jsx                                       | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/auth-access.jsx                                        | JavaScript JSX |         12 |          1 |          1 |         14 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/edit.jsx                                               | JavaScript JSX |         10 |          0 |          2 |         12 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/ErrorPage/ErrorPage.jsx                                  | JavaScript JSX |          6 |          0 |          3 |          9 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/Components/Question.jsx                             | JavaScript JSX |        234 |          6 |         18 |        258 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/Form.jsx                                            | JavaScript JSX |         10 |          1 |          3 |         14 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/FormHook/FormHook.jsx                               | JavaScript JSX |         30 |          0 |          6 |         36 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/PreviousQuestions/PreviousQuestions.jsx                  | JavaScript JSX |        199 |         14 |         16 |        229 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionBank/QuestionBank.jsx                            | JavaScript JSX |          7 |          0 |          2 |          9 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/AddComment.jsx              | JavaScript JSX |         46 |          1 |         11 |         58 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/Analytics.jsx               | JavaScript JSX |         41 |          0 |         10 |         51 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/CancelRequest.jsx           | JavaScript JSX |         84 |          3 |          9 |         96 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/EditSubmittedQuestion.jsx   | JavaScript JSX |        157 |         19 |         17 |        193 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/SendAnotherQuestion.jsx     | JavaScript JSX |         31 |          1 |          9 |         41 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/SubmittedQuestion.jsx       | JavaScript JSX |        105 |          2 |         22 |        129 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/QuestionSubmitted.jsx                  | JavaScript JSX |         16 |          1 |          3 |         20 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/RootLayout.jsx                                | JavaScript JSX |         41 |          1 |          6 |         48 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/DeleteTable.jsx                    | JavaScript JSX |         18 |          0 |          3 |         21 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignIn.jsx                         | JavaScript JSX |         65 |         15 |         10 |         90 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignOut.jsx                        | JavaScript JSX |         12 |          1 |          4 |         17 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/QuestionBankStaff/QuestionBankStaff.jsx        | JavaScript JSX |         77 |          1 |         12 |         90 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Analytics/Analytics.jsx               | JavaScript JSX |          7 |          2 |          7 |         16 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/OpenClosingTimes/OpenClosingTimes.jsx | JavaScript JSX |        441 |          0 |         15 |        456 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Settings.jsx                          | JavaScript JSX |         16 |          0 |          4 |         20 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/StaffSchedule/StaffSchedule.jsx       | JavaScript JSX |        182 |          0 |         11 |        193 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/assets/react.svg                                               | XML            |          1 |          0 |          0 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/authConfig.js                                                  | JavaScript     |         20 |          3 |          2 |         25 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/graph.js                                                       | JavaScript     |         13 |          5 |          5 |         23 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/index.css                                                      | CSS            |          3 |          0 |          1 |          4 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/main.jsx                                                       | JavaScript JSX |         16 |          4 |          5 |         25 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/tailwind.config.js                                                 | JavaScript     |         10 |          1 |          0 |         11 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/vite.config.js                                                     | JavaScript     |         11 |          1 |          2 |         14 |
| Total                                                                                                                   |                |      9,947 |        110 |        382 |     10,439 |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
